param R:
	P1			P2		P3			P4 :=
1 11.926 7.5409 6.3978 6.2547
2 5.9278 8.9585 6.2214 5.9028
3 8.913 7.2653 5.416 5.1676
4 8.7217 8.3471 7.7617 6.3262
5 7.5495 8.9938 6.9742 6.0546
6 7.254 8.8117 5.9251 6.4287
7 10.512 6.8313 8.0101 6.234
8 5.2674 5.4827 10.401 8.1744
9 11.377 9.5208 10.031 6.2245
10 10.317 7.2692 7.981 6.1558
11 7.8025 5.1912 8.9349 6.8376
12 11.25 7.837 8.4761 5.4313
13 8.1961 10.028 8.1289 6.2797
14 6.6071 7.6635 7.3542 7.0727
15 11.027 11.197 6.1998 5.6305
16 9.9303 8.0146 5.6306 6.0374
17 5.7538 8.2502 8.6804 7.0105
18 6.4654 9.0691 7.3145 6.75
19 6.2128 11.356 8.721 5.9905
20 8.2255 8.8209 6.8284 5.9532
21 9.4848 11.904 7.0104 5.6738
22 8.4379 8.0032 8.4813 6.4451
23 6.5416 5.433 7.6566 6.9446
24 5.0915 7.6865 8.6379 6.7321
25 5.6919 7.7408 6.5627 7.5472
26 9.916 6.1136 8.3115 6.4875
27 10.36 5.4055 7.9224 6.1674
28 9.8395 8.8543 5.8301 5.0845
29 11.733 8.6121 6.353 6.1689
30 7.1997 11.664 5.8786 5.4565
31 8.0994 5.9905 6.8137 6.5456
32 11.145 8.3218 6.6659 5.3519
33 10.346 6.4219 6.9345 5.9425
34 10.707 5.9059 7.8038 6.1041
35 5.3874 9.0592 8.4742 6.6573
36 9.0339 8.7439 8.3942 6.0629
37 9.3257 7.5976 7.1199 5.4393
38 9.0802 7.5358 6.9441 6.1309
39 9.5293 8.9795 6.2978 5.4661
40 7.665 9.5075 6.9878 6.6087
41 9.1331 7.0515 8.3814 6.48
42 5.5442 8.9799 8.34 6.6682
43 8.6815 6.3886 8.9068 6.2742
44 8.8067 7.069 6.6873 6.0777
45 5.9787 11.153 7.001 6.232
46 9.5655 6.4489 6.8108 5.558
47 7.4277 7.4015 8.6959 5.9103
48 11.697 7.4149 6.3938 5.3391
49 7.6378 9.0086 6.07 6.5757
50 8.516 9.5733 8.3673 5.8044
51 6.0797 5.3151 8.5079 7.4237
